date,USD Készpénz (BIL),USA Állampapír (IEF),USA Váll. Kötvény (LQD),Arany (GLD)
2010-02-28,-0.00021728952664479273,0.03274821867388655,0.003318790935520566,0.005067008448529586
2010-03-31,0.0,-0.004386396377547008,-0.010568209105428772,0.006518074261647078
2010-04-30,-0.0004363737908080756,0.058834362933984474,0.016526866855179234,0.01907866583483675
2010-05-31,0.00043656429602489943,0.030513146883171416,0.029332425424927422,-0.013082336399308891
2010-06-30,0.00021733675164470334,0.023553189068376224,0.030482951137863035,0.03278470588646676
2010-07-31,-0.0004356790002721933,-0.050871157346166984,0.009097091787695133,0.021107135953825518
2010-08-31,0.0,0.05706125282865315,0.03355911360316921,0.028554000255317513
2010-09-30,0.0,0.047755584400488216,-3.033186334766569e-05,0.0045651911857305105
2010-10-31,0.0002184846628068282,0.03682269814892791,-7.091741344855684e-05,-0.0026266573052315945
2010-11-30,0.0,0.021112978094167678,-0.008981254595821886,-0.016153886815348684
2010-12-31,-0.000218436937686195,0.024368653791006833,-0.03430948179017923,-0.007520266209901982
2011-01-31,0.0,-0.06379762129208244,-0.0002138191917966381,0.0003696477425303435
2011-02-28,0.0,0.05998312803425154,-0.002083746895727434,0.010799819303046299
2011-03-31,0.0,0.01598138086384293,-0.00154656293518185,-0.00540581872700463
2011-04-30,0.0,0.08944654978008071,0.018413436768711433,0.025043954468728646
2011-05-31,0.0002184846628068282,-0.017916885312225905,0.025055708928158005,0.012695730893245827
2011-06-30,0.0,-0.024325042799353547,-0.005043732134503043,-0.0079721501741572
2011-07-31,0.0,0.08417803620638908,0.031695002131644445,0.02430182382708934
2011-08-31,0.0,0.12274943937515781,0.046513894470146866,0.003402872528510459
2011-09-30,-0.000218436937686195,-0.11062347246832638,0.022370070788960472,0.00351217486511346
2011-10-31,-0.00043606897672843203,0.0587118747477946,-0.01286552602985902,0.025095768344719716
2011-11-30,0.00021817964912318466,0.016672693952307194,0.00579942555309132,-0.03156719624555071
2011-12-31,-0.00017460570629457273,-0.10662433944055594,0.019876440510394167,0.034882790507821726
2012-01-31,-0.00021776983869714606,0.11395480912860867,0.008619798883774177,0.02144798625798372
2012-02-29,0.0002178172727296257,-0.029649780549572347,-0.010998029752824823,0.016328538222652345
2012-03-31,-0.00021776983869714606,-0.013208340481005276,-0.015912556093737207,-0.014210926305631255
2012-04-30,0.0002178172727296257,-0.0014803247076433657,0.02509123235474031,0.010821088679170199
2012-05-31,0.0,-0.06338034010471139,0.02869575854686568,0.007571889670600962
2012-06-30,-0.0004369407701065864,0.02354575543588089,-0.004143165129070536,0.008715388901092691
2012-07-31,0.0,0.008376847936764742,0.014011783082123586,0.034829627888834924
2012-08-31,0.0,0.04939609851235338,-0.001172861279964632,-0.0005375824756392866
2012-09-30,0.0,0.046705627280061,-0.0034831107862650645,0.011000825841033457
2012-10-31,0.00021926673798677854,-0.029437416816341377,-0.003960179025865318,0.01346191401582253
2012-11-30,-0.00021921867062391076,-0.004675410721908135,0.009791448730793073,-0.007235561145804703
2012-12-31,0.0,-0.02426979045607558,-0.009403388607356122,-0.0033049117515460136
2013-01-31,0.0,-0.005061148639644464,-0.012931334677349526,-0.012975842919102143
2013-02-28,0.0,-0.05086846838387371,0.011324953162294094,0.010760075380940481
2013-03-31,0.0,0.009477104236877087,0.0028680322196352748,-0.0004670417235965729
2013-04-30,-0.0002177649110142177,-0.0756231330952718,0.015252948837493507,0.02173480646707282
2013-05-31,0.00021781234289974805,-0.06198785346133606,-0.031049592516301794,-0.03217605547876268
2013-06-30,-0.0002177649110142177,-0.11058839427335088,-0.025462408850516316,-0.03267509436672289
2013-07-31,0.0,0.0743010530498811,-0.003526277278447676,0.011060065457051627
2013-08-31,0.0,0.052047484216675155,-0.014225438508276178,-0.009983385567795544
2013-09-30,-0.0002180126301115637,-0.047838379698351585,0.018462126867111905,0.007419135891395534
2013-10-31,-0.00021876132808562598,-0.003432632525768975,0.007777722769047424,0.018081707180792383
2013-11-30,-0.00021810788355303146,-0.05511195422936577,-0.008763237776727606,-0.0013933770534728662
2013-12-31,0.0,-0.03794527189279151,-0.020906092681570954,0.0021488365227007034
2014-01-31,0.0,0.034188714238774454,0.030632120652073658,0.018828259591260554
2014-02-28,0.00021815546497983007,0.0627030280482701,0.0035747456597541305,0.011449148976405255
2014-03-31,-0.00021810788355303146,-0.031421423365686874,-0.00561061761749293,-0.000291089548565604
2014-04-30,0.0,0.0049348807324614,0.007583501977471263,0.01329313804677934
2014-05-31,0.0,-0.03051039187154414,0.018254066219669074,0.01514373238266109
2014-06-30,-0.00021915755714785323,0.06319017654797743,-0.002167714826228573,6.753535935044575e-05
2014-07-31,-0.00021790259232923326,-0.03631673024297155,-0.002205124975404371,-0.0031953962915195477
2014-08-31,0.00021795008421765516,0.0038090706137288155,0.018802305852970713,0.020040415338735462
2014-09-30,0.0,-0.061763293138879294,-0.010494499527326395,-0.01681621227560559
2014-10-31,-0.00021790259232923326,-0.03054810644807593,0.01536294092356405,0.012342384740276602
2014-11-30,0.0,-0.00488197260677703,0.012886062617620375,0.009117576992923704
2014-12-31,-0.00021855160238926086,0.013112132840068735,0.0012946729019180925,-0.00017187190608791703
2015-01-31,-0.0002186996525773699,0.08689905756357263,0.04302297312575187,0.03751781276042632
2015-02-28,0.0,-0.05905219494812319,-0.024718102581574364,-0.014204641151189246
2015-03-31,0.0,-0.021522037888980217,0.008560981464690531,0.001951491022011309
2015-04-30,-0.00021924897697178647,-0.0016716737223684275,-0.006330225846551962,-0.01187178847972492
